,_Age,_Weight,_Height,_avg_td_att,_avg_sig_str,_fights
Magomed Mustafaev,60,58,82,5,48,3
Seohee Ham,65,43,73,11,21,4
Bradley Scott,58,70,86,6,10,4
Yan Cabral,71,58,84,32,1,4
Lewis Gonzalez,63,64,83,0,16,1
Konstantin Erokhin,73,86,84,0,6,2
Rocky Lee,63,54,82,0,0,1
Raquel Pennington,60,50,79,28,27,7
Thibault Gouti,65,58,83,0,31,3
Marcio Alexandre Junior,58,64,85,8,3,2
Paulo Borrachinha,54,70,85,0,30,1
Zubaira Tukhugov,56,54,80,14,7,4
Daniel Omielanczuk,73,93,85,10,16,7
Ian McCall,69,46,77,10,11,2
Godofredo Pepey,63,54,79,2,14,5
Anthony Lapsley,80,64,82,0,0,1
Joey Gomez,65,50,83,0,7,1
Gasan Umalatov,73,64,84,29,2,4
Chan Sung Jung,65,54,79,0,36,1
Urijah Faber,80,50,78,62,22,8
Joachim Christensen,82,77,89,0,10,2
Rafaello Oliveira,76,58,80,0,0,1
Ruslan Magomedov,65,90,89,0,3,3
Guto Inocente,65,77,89,0,0,2
Leonardo Augusto Leleco,69,70,85,0,24,1
Milana Dudieva,58,50,77,11,3,3
Kevin Casey,76,70,84,13,18,5
Dominick Cruz,69,50,80,26,25,4
Cathal Pendred,63,64,86,76,13,6
Jorge de Oliveira,80,64,80,0,3,2
Jordan Johnson,60,77,87,0,44,1
Luan Chagas,50,64,85,1,20,2
Ryan Janes,76,70,89,0,0,2
Phil Davis,69,77,87,33,18,3
Alan Patrick,71,58,84,28,10,3
Dustin Kimura,58,50,79,7,0,3
Vitor Miranda,82,70,86,3,12,5
Sergio Pettis,50,46,78,18,33,7
Rodolfo Rubio,65,54,77,0,0,1
Chico Camus,69,46,78,10,19,5
Jan Blachowicz,73,77,87,11,11,6
Joshua Burkman,78,64,83,29,25,5
Carlos Diego Ferreira,69,58,82,0,0,1
Frank Mir,80,99,89,10,5,5
Alexander Yakovlev,69,64,89,32,21,6
Wilson Reis,69,46,76,100,28,8
Trevor Smith,78,70,89,34,5,7
Demetrious Johnson,65,46,75,69,68,7
Brad Tavares,63,70,86,30,20,6
Ray Borg,50,46,76,47,16,7
Sai Wang,67,64,85,0,3,2
Khabib Nurmagomedov,60,58,83,26,3,3
Aaron Phillips,58,54,82,0,6,2
Brad Pickett,82,50,78,67,24,8
KJ Noons,73,58,83,0,2,4
Sergio Moraes,73,64,85,17,14,5
Nikita Krylov,54,77,89,3,17,3
Cyril Asker,67,93,87,4,1,2
Andrew Craig,67,70,86,1,1,2
