B_Age,B_Weight,B_Height,B_avg_td_att,B_avg_sig_str,B_fights,R_Age,R_Weight,R_Height,R_avg_td_att,R_avg_sig_str,R_fights,winner
65,64,85,14,10,4,80,64,86,4,25,5,red
71,58,82,16,13,4,69,58,80,15,22,3,red
73,64,85,5,23,7,73,64,82,12,23,7,red
69,50,80,29,14,4,58,50,79,53,29,7,blue
76,64,86,23,16,5,56,64,84,14,12,6,red
65,58,83,19,44,3,69,58,80,8,45,10,blue
67,43,77,3,7,3,67,43,79,4,23,3,blue
80,46,77,20,1,2,58,46,77,4,10,4,red
58,64,85,9,30,5,76,64,84,1,29,6,red
71,70,85,7,19,9,67,70,87,20,15,11,red
71,58,82,16,13,4,63,58,82,0,0,1,blue
76,95,95,4,0,2,69,98,85,13,3,4,red
69,58,83,27,4,7,76,58,83,0,0,2,blue
54,70,82,15,19,9,67,64,82,14,11,7,blue
63,54,79,8,6,4,60,58,82,3,20,8,red
54,58,83,14,15,4,63,58,83,32,12,6,blue
84,93,87,0,0,1,84,100,90,13,1,4,red
56,64,86,18,13,6,63,64,85,54,17,5,red
63,54,82,5,24,4,73,58,83,5,10,4,blue
58,54,86,0,1,3,73,54,82,13,0,3,blue
63,70,86,0,10,4,63,70,89,7,6,4,red
67,58,82,41,12,7,67,58,84,37,4,5,red
67,58,82,41,12,7,67,58,82,7,15,5,blue
65,70,90,7,11,3,80,70,85,24,23,7,red
71,58,83,41,8,5,65,58,84,53,22,6,blue
89,64,83,0,11,2,86,64,84,8,2,4,blue
82,90,90,3,19,8,73,95,93,8,17,7,blue
69,43,75,0,36,3,58,43,72,29,30,5,red
54,64,84,8,15,5,54,64,85,13,16,7,red
54,58,82,3,69,3,71,58,84,11,24,8,red
71,77,83,9,7,7,71,77,87,68,15,6,red
65,58,84,53,22,6,80,58,85,22,14,5,draw
56,46,77,2,17,4,50,46,76,47,16,7,red
63,50,83,14,3,4,76,50,77,23,5,4,red
63,64,82,49,11,5,63,64,83,3,20,5,blue
65,64,84,2,21,2,78,64,83,29,25,5,blue
65,70,87,11,15,8,84,70,85,33,4,4,red
63,43,78,0,50,7,60,43,76,55,38,5,blue
65,64,83,8,15,5,76,64,87,6,4,6,red
56,54,83,55,19,6,63,54,79,2,14,5,red
71,46,76,2,4,2,80,46,76,13,20,6,red
78,54,82,25,6,5,67,54,80,24,15,7,red
58,77,89,24,17,4,80,77,86,5,18,5,red
52,54,84,38,30,4,54,54,84,4,52,10,red
60,70,89,8,14,5,58,70,86,6,10,4,red
65,50,80,5,11,4,54,50,79,0,27,6,red
69,50,77,5,4,2,73,50,79,5,0,3,red
80,50,80,7,9,4,65,54,79,37,4,6,blue
71,46,78,17,23,7,69,46,76,19,34,5,red
82,58,82,26,38,10,65,58,83,15,30,6,blue
71,50,76,14,0,2,69,50,77,12,19,3,red
58,50,76,8,23,4,67,50,76,3,5,3,blue
60,54,83,10,28,8,80,50,78,62,22,8,red
71,64,87,0,14,5,69,64,84,46,11,4,blue
76,70,84,13,18,5,58,70,87,47,11,7,no contest
63,58,83,32,12,6,65,58,80,65,21,6,red
65,58,84,2,6,2,69,58,84,11,4,4,red
71,90,87,1,1,2,60,90,90,0,0,2,red
60,58,82,5,48,3,63,58,82,26,15,4,blue
73,50,82,12,12,6,65,50,78,0,13,6,red
82,70,86,4,18,5,69,70,87,46,21,5,red
65,54,78,15,40,6,67,50,78,42,55,6,red
60,64,84,23,24,4,69,64,86,0,7,3,blue
69,58,83,5,6,3,71,58,84,28,10,3,red
56,46,77,2,17,4,54,46,78,1,6,3,blue
76,70,87,0,0,2,63,70,86,0,10,4,red
69,100,89,7,17,3,73,93,85,10,16,7,blue
67,58,82,7,15,5,80,58,85,22,14,5,red
56,50,75,11,47,8,69,46,77,10,11,2,blue
69,64,85,15,16,7,71,58,84,32,1,4,blue
58,54,82,0,0,1,73,58,83,4,7,5,red
54,54,80,4,9,2,69,54,82,23,5,4,blue
63,64,89,91,28,12,54,64,84,1,5,2,blue
84,70,85,33,4,4,80,70,85,5,20,3,blue
65,70,90,7,11,3,63,70,89,7,6,4,blue
65,54,82,14,9,4,69,54,86,5,26,5,no contest
69,64,89,32,21,6,84,64,86,88,7,6,red
60,54,83,10,28,8,69,54,86,5,26,5,blue
80,99,90,1,8,5,86,99,85,44,9,8,red
69,50,79,4,20,5,78,50,78,21,29,6,blue
84,86,90,23,18,5,73,90,86,7,2,2,blue
60,43,78,4,17,4,58,43,72,29,30,5,red
69,58,80,2,8,4,65,58,83,15,30,6,red
56,90,89,61,4,5,69,98,89,16,9,10,red
65,58,89,3,17,6,71,58,80,20,6,6,blue
82,64,83,6,12,3,69,64,85,15,16,7,red
84,70,85,0,11,5,69,70,87,46,21,5,red
78,64,80,0,35,1,71,64,86,17,26,4,red
71,58,82,1,14,2,69,58,78,19,16,5,red
65,46,76,44,43,6,76,46,75,4,32,5,blue
78,58,83,6,2,3,80,58,82,25,6,5,red
54,70,82,15,19,9,63,64,89,91,28,12,red
52,58,82,70,31,9,67,58,82,7,15,5,blue
60,54,85,7,8,5,60,54,85,2,9,4,red
60,70,86,23,6,3,60,70,90,0,24,3,red
78,100,90,10,29,8,71,90,90,1,24,3,blue
60,54,83,6,9,3,63,54,79,1,1,2,blue
82,90,90,3,19,8,78,100,90,10,29,8,red
69,50,80,29,14,4,69,50,79,4,20,5,blue
63,58,86,21,6,3,63,58,84,0,2,3,red
63,64,89,91,28,12,84,64,86,88,7,6,red
63,64,86,0,0,1,76,64,87,6,4,6,red
65,43,76,0,4,1,63,43,76,1,5,2,red
71,64,87,30,36,10,60,64,87,7,1,3,blue
60,64,84,0,0,1,80,64,85,0,0,1,blue
67,58,86,0,66,2,63,58,83,32,12,6,red
58,43,71,1,49,2,65,43,73,11,21,4,blue
60,70,90,0,24,3,65,70,85,0,21,3,blue
50,70,85,1,17,2,69,70,89,2,8,2,blue
63,64,89,0,32,2,60,64,85,23,23,6,blue
73,50,83,0,0,3,69,50,78,42,6,6,red
78,70,85,15,15,8,80,70,86,45,16,7,red
65,58,84,8,8,3,65,58,85,21,23,5,red
65,70,85,0,21,3,80,77,86,69,9,6,red
56,50,77,35,3,5,71,50,82,1,0,2,blue
63,64,85,22,15,6,78,64,85,7,8,2,blue
65,77,86,0,41,1,67,77,89,35,15,7,red
67,43,75,6,20,3,47,43,76,0,4,2,blue
56,50,77,35,3,5,65,50,78,24,13,6,blue
